gene,immune_cells,cor,p.value
PARP9,CD4+ naive T-cells,-0.402478251792733,3.78091358639641e-39
PARP9,CD8+ T-cells,-0.40087822345017,7.98250576943993e-39
PARP9,CD8+ Tcm,-0.268722027372144,1.53577558406756e-17
PARP9,CD8+ Tem,-0.123041684208769,0.00012018649396167
PARP9,CD8+ naive T-cells,-0.329437416488834,4.88733958370423e-26
PARP9,Memory B-cells,-0.212971535821776,1.96827740647381e-11
PARP9,NK cells,-0.0248780590692611,0.438491546694469
PARP9,NKT,0.374523877818443,9.96167686419295e-34
PARP9,Th2 cells,-0.158231995772213,7.11843073447995e-07
PARP9,naive B-cells,-0.343298089711732,2.86230984123643e-28
PARP9,pro B-cells,-0.176886596414521,2.83205973044978e-08
PRIC285,B-cells,-0.173986284783447,4.78653527851086e-08
PRIC285,CD4+ T-cells,-0.298550453114498,1.83982716115893e-21
PRIC285,CD4+ Tcm,-0.242253894132979,1.89804800674009e-14
PRIC285,CD4+ memory T-cells,-0.242906093644611,1.60827954673207e-14
PRIC285,CD4+ naive T-cells,-0.345470906294036,1.24847136944608e-28
PRIC285,CD8+ T-cells,-0.335861516508321,4.66205480893906e-27
PRIC285,CD8+ Tcm,-0.209872738046076,3.88235666310173e-11
PRIC285,CD8+ Tem,-0.0639814419817419,0.0461279422627361
PRIC285,CD8+ naive T-cells,-0.310111647168665,4.12168876218748e-23
PRIC285,Memory B-cells,-0.169090843263374,1.13803646920973e-07
PRIC285,NK cells,-0.0189025168402297,0.556118617128498
PRIC285,NKT,0.276763651120272,1.49837452304048e-18
PRIC285,Th2 cells,-0.154638377921397,1.27180311630611e-06
PRIC285,naive B-cells,-0.279284726881211,7.10838785419307e-19
PRIC285,pro B-cells,-0.122304356829483,0.000132092237742232
TRIM22,B-cells,-0.17753720236365,2.51451527822694e-08
TRIM22,CD4+ T-cells,-0.298846985623793,1.67258027154473e-21
TRIM22,CD4+ Tcm,-0.262527786906232,8.74845409023513e-17
TRIM22,CD4+ memory T-cells,-0.231522904709778,2.7033232423663e-13
TRIM22,CD4+ naive T-cells,-0.349343931295479,2.79893203868447e-29
TRIM22,CD8+ T-cells,-0.314938206508995,8.02174528486322e-24
TRIM22,CD8+ Tcm,-0.173352477396273,5.36197277495756e-08
TRIM22,CD8+ Tem,-0.0829248714373857,0.00969644103111838
TRIM22,CD8+ naive T-cells,-0.252696961779079,1.26114853051068e-15
TRIM22,Memory B-cells,-0.164763677969301,2.39726077982634e-07
TRIM22,NK cells,0.00234940223853059,0.941684397263977
TRIM22,NKT,0.35501886671655,3.01257057109683e-30
TRIM22,Th2 cells,-0.109386965209413,0.000634979290856648
TRIM22,naive B-cells,-0.278116201199627,1.00529449163148e-18
TRIM22,pro B-cells,-0.159893353850955,5.41933971328792e-07
XAF1,B-cells,-0.132192302921048,3.56192454534922e-05
XAF1,CD4+ T-cells,-0.22414421876548,1.5575171051925e-12
XAF1,CD4+ Tcm,-0.197383075180474,5.39917230575052e-10
XAF1,CD4+ memory T-cells,-0.179621077489611,1.71292709022883e-08
XAF1,CD4+ naive T-cells,-0.290686916003003,2.21237968228897e-20
XAF1,CD8+ T-cells,-0.286331106900702,8.4865981734584e-20
XAF1,CD8+ Tcm,-0.154918653007737,1.21609294860839e-06
XAF1,CD8+ Tem,-0.0399629397258771,0.213199679810695
XAF1,CD8+ naive T-cells,-0.239812780624026,3.51332977548645e-14
XAF1,Memory B-cells,-0.116023755768008,0.00028912200831142
XAF1,NK cells,0.00406771836341288,0.899212478276148
XAF1,NKT,0.240245611133307,3.15151832359941e-14
XAF1,Th2 cells,-0.179392930300881,1.7868455932733e-08
XAF1,naive B-cells,-0.251095652084633,1.9269906319928e-15
XAF1,pro B-cells,-0.107634019703692,0.00077619403379268
ZBP1,B-cells,-0.194881368534435,8.96546566101622e-10
ZBP1,CD4+ T-cells,-0.313478514803784,1.32015077814748e-23
ZBP1,CD4+ Tcm,-0.286733798195612,7.50209825941158e-20
ZBP1,CD4+ memory T-cells,-0.238914678659279,4.39905209410915e-14
ZBP1,CD4+ naive T-cells,-0.356338563537555,1.78227959253154e-30
ZBP1,CD8+ T-cells,-0.355831106519232,2.18152560367457e-30
ZBP1,CD8+ Tcm,-0.202160714440748,2.01201803955679e-10
ZBP1,CD8+ Tem,-0.0680429681366363,0.033913496288743
ZBP1,CD8+ naive T-cells,-0.302055680008538,5.92140978576263e-22
ZBP1,Memory B-cells,-0.184797330258633,6.47295396073275e-09
ZBP1,NK cells,-0.0159269465160747,0.619932822710946
ZBP1,NKT,0.305531581610344,1.89449246834906e-22
ZBP1,Th2 cells,-0.149216289586584,2.97847990146551e-06
ZBP1,naive B-cells,-0.322227465239494,6.39327131465693e-25
ZBP1,pro B-cells,-0.132061968028495,3.62623971662133e-05
