id	B-cells	CD4+ T-cells	CD4+ Tcm	CD4+ memory T-cells	CD4+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	CD8+ naive T-cells	Memory B-cells	NK cells	NKT	Th2 cells	naive B-cells	pro B-cells
GSM1594609	0.1169	0.0083	0.0033	0	0.0125	0.0585	0.0502	0	0.0084	0.029	0	0.0166	0	0.0438	0.0362
GSM1594610	0.1055	0.0132	0.0298	0.0041	0.0066	0.0474	0.0665	0	9.00E-04	0.0402	0	0.0563	0	0.0214	0.0031
GSM1594611	0.042	0	0.012	0	0.0051	0.0338	0.0418	0	0	0.0111	0	0.0555	0	0.0142	0
GSM1594612	0.0409	0	0.0154	0	0	0.0236	0.0414	0	0.0028	0.0149	0	0.0603	0.0131	0.0126	0
GSM1594613	0.0766	0	0.0037	0	0	0.0391	0.0735	0.0014	0.0014	0.038	0	0.0503	0.0012	0.0266	0.0033
GSM1594614	0.0373	0	0	0	0	0.0274	0.0555	0	0	0.0086	0	0.0554	0	0.0099	0
GSM1594615	0.1064	0	0	0	0.0049	0.0244	0.0712	0	0	0.0376	0	0.0652	0.0159	0.0425	0.0023
GSM1594616	0.0312	0	0.0045	0	0	0.0316	0.051	0	0	0.0116	0	0.0839	0	0.0099	0
GSM1594617	0.0136	0	0	0	0.0027	0.0227	0.0283	0	0	0	0	0.0323	0.0023	0.0084	0
GSM1594618	0.0889	0.017	0.0149	0.0027	0.0205	0.0791	0.0797	0	0.0014	0.034	0	0.0718	0.0071	0.0276	9.00E-04
GSM1594619	0.0725	0	0	0	0	0	0.0158	0	0	0.029	0	0.1066	0	0.0206	0
GSM1594620	0.1258	0.0189	0.0235	0.0033	0.017	0.0591	0.0811	0	0.0062	0.0458	0	0.0614	0	0.0463	0.0057
GSM1594621	0.1645	5.00E-04	0.0033	0.0016	0	0.0383	0.0788	0	7.00E-04	0.0538	0	0.0553	0	0.0457	0.0132
GSM1594622	0.0504	0.0236	0.0063	0	0.013	0.0861	0.119	0.0195	0.0089	0.0136	0	0.0488	0	0.0081	0.001
GSM1594623	0.0382	0	0	0	0	0.0063	0.0198	0	0	0.0144	0	0.137	0	0.0168	0
GSM1594624	0.1517	0.0286	0.035	0.0098	0.0121	0.0592	0.0675	0.0019	0.004	0.0496	0	0.0728	0	0.0544	0.006
GSM1594625	0.0863	0.0272	0.031	0.0152	0.0116	0.0548	0.0775	0	0.0079	0.0278	0	0.0248	4.00E-04	0.037	0.0031
GSM1594626	0.079	0.0143	0.0162	0.0067	0	0.043	0.0542	0	0	0.0297	0	0.0482	0.0118	0.0299	0
GSM1594627	0.0455	0.0126	0.0186	4.00E-04	0.0141	0.0582	0.0578	0	0	0.0173	0	0.0421	0	0.0131	2.00E-04
GSM1594628	0.1101	0.0171	0.0087	0.0038	0.0256	0.0792	0.0824	0.0128	0.0064	0.0358	0	0.0209	0	0.0393	0.0107
GSM1594629	0.0311	0.0017	0.012	0	0	0.0316	0.063	0	0	0.0088	0	0.0647	0	0.0109	0
GSM1594630	0.1214	0.0397	0.0451	0.0127	0.0298	0.1248	0.128	0.0076	0.0063	0.0354	0	0.014	0	0.047	0.0138
GSM1594631	0.0188	0	0.0142	0	0.0098	0.0335	0.0355	0	0	0.0076	0	0.0407	0	0.0128	0
GSM1594632	0.2081	0.0512	0.0405	0.0158	0.0453	0.1036	0.079	0.0111	0.0066	0.0667	0	0.031	0	0.0838	0.0201
GSM1594633	0.1164	0	0.0074	0	0.0105	0.0323	0.0443	0	0	0.0377	0	0.0601	0	0.0346	0.0184
GSM1594634	0.1819	0.0204	0.0049	0	0.0268	0.0846	0.0911	0.0288	0.0026	0.066	0	0.0744	0.0103	0.0667	0.0232
GSM1594635	0.0902	0.0108	0	0.0014	0.0109	0.062	0.0783	0.0123	0.0078	0.0212	0	0.0486	0.0318	0.025	0.0238
GSM1594636	0.1241	0	0	0	0	0.0577	0.0735	0	0.01	0.0356	0	0.0392	0	0.0365	0.0258
GSM1594637	0.1958	0.0282	0.0132	0.0098	0.0225	0.1085	0.1038	0.0313	0.0134	0.0646	0.0011	0.0154	0.006	0.0726	0.0215
GSM1594638	0.1958	0.035	0.0214	0.006	0.0296	0.1038	0.0993	0.0213	0.0116	0.0635	0	0.0301	0	0.0631	0.0228
GSM1594639	0.0238	0	0	0	0	0	0.0088	0	0	0.0041	0	0.1217	0	0.0073	0
GSM1594640	0.1707	0.0204	0.0286	0.0064	0.0193	0.0439	0.0648	0	0.0029	0.059	0	0.0995	0.0016	0.0473	0.0054
GSM1594641	0.1045	0.021	0.0265	0	0.0399	0.1008	0.0817	0.005	0.0085	0.0379	0	0.1053	0.0086	0.046	0.0084
GSM1594642	0.0461	0.0101	0.0056	0	0.0218	0.0723	0.0853	0.0062	0.0106	0.0069	0	0.0521	0.0028	0.0084	0
GSM1594643	0.0304	0	0	0	0	0.072	0.0951	0.0282	0.002	0.0021	0	0.0496	0	0.0112	0.007
GSM1594644	0.1606	0	0	0	0	0	0	0	0	0.0627	0	0.0295	0.0037	0.0646	0.0238
GSM1594645	0.1125	0.0059	0.0238	0	0	0.0398	0.0647	0	0.006	0.0334	0	0.0752	0	0.0293	1.00E-04
GSM1594646	0.1448	0.0203	0.0227	0	0.0137	0.0987	0.0801	0.0195	0.0069	0.0401	0	0.0587	0.0134	0.0518	0.0082
GSM1594647	0.1395	0.0051	0.0101	0	0.0181	0.0521	0.0388	0	0.0052	0.0448	0	0.0377	0.0042	0.052	0.0174
GSM1594648	0.1239	0	0	0	0	0	0	0	0	0.0379	0	0.0791	0	0.041	0.0136
GSM1594649	0.0019	0	0	0	0.0052	0.0874	0.0678	0	0.0045	0	0	0.0355	0	0.0056	0
GSM1594650	0.0794	0.0117	0.0207	0	0.0246	0.0758	0.0881	0.0025	0.0027	0.0245	0	0.1176	0	0.0255	0
GSM1594651	0.1034	0.0087	0.0189	0	0.0148	0.0283	0.0473	0	0.0038	0.0354	0	0.0472	0	0.028	0.0239
GSM1594652	0.151	0.0172	0.0415	0.002	0	0.0589	0.0917	0.0021	0.0058	0.0536	0	0.0344	0	0.0525	0.0135
GSM1594653	0.1557	0.002	0	0	0.0019	0.0589	0.0772	0.0148	4.00E-04	0.0543	0	0.0682	0	0.0486	0.0082
GSM1594654	0.2895	0.0296	0.0143	0.0121	0.0257	0.0449	0.0707	0	0.0103	0.0819	0	0.037	0.0074	0.1153	0.0352
GSM1594655	0.1203	0.0211	0.0437	0	0.0209	0.1115	0.1068	0.0138	0.0092	0.0397	0	0.0361	0	0.0457	0.0071
GSM1594656	0.1112	0.0156	0.0199	6.00E-04	0.0177	0.0597	0.0775	0	0.0013	0.0331	0	0.0314	0	0.0465	0.0127
GSM1594657	0.1314	0.0285	0.0159	0.0121	0.0145	0.0569	0.0804	0.0185	0.0045	0.0314	0.0053	0.0314	0	0.0214	0.0322
GSM1594658	0.0609	0.0173	0.0136	0	0.017	0.0819	0.0895	0.0068	0.0046	0.0102	0	0.0425	0.0051	0.0176	0
GSM1594659	0.0128	0	0	0	0	0.027	0.0682	0	3.00E-04	0.0042	0	0.0494	0	0.0111	0.0011
GSM1594660	0.1287	0.0675	0.0505	0.0133	0.0628	0.1633	0.1443	0	0.0203	0.0462	0	0.0308	0	0.0442	0.0155
GSM1594661	0.0217	0	0	0	0	0	0	0	0	0.005	0	0.0889	0	0.0165	0
GSM1594662	0.1497	0.0102	0	0	0.0072	0.1023	0.0995	0.0245	0.0082	0.0446	0	0.0712	0.0035	0.0447	0.0111
GSM1594663	0.0268	0.0245	0.0274	0.0067	0.0169	0.0591	0.0946	0	0.0032	9.00E-04	0	0.0146	0	0.0063	0
GSM1594664	0.1475	0.0283	0.0224	0.0085	0.0179	0.0945	0.1092	0.024	0.0069	0.0487	0	0.0262	0	0.0397	0.017
GSM1594665	0.0722	0.0382	0.0515	0.0157	0.0289	0.1007	0.1172	0	0.0072	0.0188	0	0.0334	0.0274	0.0242	0
GSM1594666	0.0638	0.0156	0.0151	4.00E-04	0	0.0569	0.0728	0.0092	0.0029	0.021	0	0.0339	0.0022	0.0181	0
GSM1594667	0.091	0.0147	0.0183	0.0093	0.0188	0.077	0.1022	0	0.0068	0.0287	0	0.0693	0.0091	0.0352	0.0017
GSM1594668	0.054	0	0	0	0	0.0042	0.0296	0	0	0.0129	0	0.0913	0	0.0107	0.0047
GSM1594669	0.0798	0.0133	0.0037	0.0085	0.0223	0.0459	0.0447	0	4.00E-04	0.0293	0	0.0445	0	0.0324	0.0067
GSM1594670	0.2595	0.0244	0.0084	0.0078	0.0148	0.0844	0.0797	0.0287	0.004	0.081	0.0016	0.0304	2.00E-04	0.098	0.0321
GSM1594671	0.053	3.00E-04	0	0	0.0016	0.0644	0.0667	0.0112	0	0.0146	0	0.0885	0.0192	0.0196	0
GSM1594672	0.0276	0	0	0	0	0.0326	0.0524	0	0.0024	0.0141	0	0.098	0	0.008	0
GSM1594673	0.0272	0	0	0	0	0.0255	0.0407	0.0131	0	0.0122	0	0.0582	0	0.0082	7.00E-04
GSM1594674	0.0453	2.00E-04	0	0	0	0.0431	0.0758	0.0065	0.0033	0.0207	0	0.0372	0	0.0071	0
GSM1594675	0.1564	0.0286	0.0336	0.0141	0.0214	0.1021	0.0904	0.0281	0.0126	0.057	0	0	0.0493	0.0177	0.0196
GSM1594676	0.0183	0	0	0	0	0	0	0	0	0	0	0.0517	0.0058	0.01	0.0171
GSM1594677	0.0368	0	0.0027	0	0	0.0283	0.0467	0	0	0.0096	0	0.1435	0	0.0089	0
GSM1594678	0.0573	0	0	4.00E-04	0	0.0108	0.0527	0	0	0.0211	0	0.082	0.0142	0.0111	0
GSM1594679	0.1209	0.0094	0.0107	0	0.0158	0.0759	0.0677	0	0.0027	0.0329	0	0.011	0	0.0337	0.0193
GSM1594680	0.1128	0.0308	0.0151	0.01	0.0404	0.0855	0.078	0.0261	0.0059	0.0428	0.0023	0.0431	0.0021	0.0448	0.0117
GSM1594681	0.1425	0.0265	0.0069	0.0134	0.0139	0.1558	0.1549	0.0441	0.0133	0.044	0.0149	0.0269	0.0237	0.0448	0.016
GSM1594682	0.0562	0	7.00E-04	0.0025	0.0122	0.0379	0.0489	0	0.0069	0.0259	0	0.0844	7.00E-04	0.0176	0.0014
GSM1594683	0.057	0.0203	0	0.0061	0.0174	0.0629	0.0759	0.0017	0.0029	0.0196	0	0.0528	0.0157	0.0094	0
GSM1594684	0.061	0	0.0113	0	0	0	0.0308	0	0	0.0349	0	0.0899	0	0.0193	0
GSM1594685	0.1587	0.0233	0.0424	0.0014	0.0165	0.0858	0.0935	0.0046	0.0069	0.0518	0	0.026	0	0.0603	0.0154
GSM1594686	0.1437	0.0306	0.0052	0.0154	0.0361	0.1185	0.1182	0.0211	0.0076	0.0506	4.00E-04	0.0095	0	0.0472	0.0089
GSM1594687	0.1727	0.0498	0.0315	0.0321	0.0462	0.1069	0.1146	0.0112	0.0072	0.0553	0	0.0091	0.0023	0.0646	0.0167
GSM1594688	0.0391	0	0.0147	0	0	0.0724	0.0811	0	0.003	0.008	0	0.072	0	0.0149	0
GSM1594689	0.0227	0	0	0	0	0.0052	0.032	0	0	0.0143	0	0.0946	0	0.0075	0
GSM1594690	0.23	0	0.0155	0	0.0069	0.0456	0.0418	0	0	0.0788	0	0.0602	0.0019	0.1	0.0264
GSM1594691	0.1571	0.0057	0.016	0	0.0095	0.0567	0.072	0.0069	3.00E-04	0.0543	0	0.0919	0	0.0412	0.0075
GSM1594692	0.2048	0.0122	0	0	0.0027	0.0564	0.0475	0.0109	0	0.0735	0	0.0378	0	0.0827	0.0301
GSM1594693	0.0821	0	0	0	0	0.0178	0.0293	0	0	0.0281	0	0.0877	0	0.0226	0
GSM1594694	0.1084	0	0.0103	0	0.0046	0.0629	0.0773	0.0095	0	0.0448	0	0.0362	0.0056	0.0299	0.0127
GSM1594695	0.044	0.0203	0.0185	0.0052	0.0184	0.0591	0.0716	0.0063	0.0041	0.0166	4.00E-04	0.0658	0.0086	0.0197	0
GSM1594696	0.0819	0.0273	0.018	0.0096	0.0405	0.0893	0.086	0	0.0165	0.0302	0	0.0439	0.0219	0.0332	3.00E-04
GSM1594697	0.1019	0	0.0107	0	0.0089	0.0323	0.0352	0	0	0.0359	0	0.1038	0.0107	0.0283	0
GSM1594698	0.1032	0.0291	0.0173	0.0076	0.0244	0.0848	0.0921	0.0118	0	0.0348	0	0.0543	0	0.0335	0.012
GSM1594699	0.1734	0.0263	5.00E-04	0.0207	0.0224	0.0539	0.0662	0.0053	0	0.0499	0	0.0443	0.0028	0.064	0.0119
GSM1594700	0.0625	0.015	0.0123	0	0.0189	0.0632	0.0752	0.0149	0	0.0201	0.0016	0.0281	0.0089	0.0162	0.0053
GSM1594701	0.0761	0.0011	0.0074	0	0.0016	0.0396	0.0672	0.0025	0	0.0297	0	0.049	0	0.0206	0.0016
GSM1594702	0.0177	0	0	0	0	0.0213	0.0511	0	0.0021	0.0042	0	0.0607	0	0.0073	0
GSM1594703	0.1037	0	0	0	0.0023	0.0323	0.0649	0.0098	3.00E-04	0.0402	0	0.0514	0	0.03	0.0024
GSM1594704	0.1079	0	0.0111	0	7.00E-04	0.0193	0.0224	0	0	0.0284	0	0.0678	0.004	0.0428	4.00E-04
GSM1594705	0.0685	0.0092	0.0082	2.00E-04	0.0056	0.0515	0.0643	0	0.001	0.0223	0	0.0262	0	0.0222	0.0097
GSM1594706	0.1535	0.0297	0.0104	0.0152	0.0333	0.1145	0.1067	0.0107	0.0105	0.0496	0	0.0311	0	0.0629	0.0162
GSM1594707	0.2118	0.0354	0.0214	0.0127	0.0409	0.0796	0.0796	0	0.0014	0.0659	0	0.0083	0	0.0661	0.0219
GSM1594708	0.1399	0.0347	0.0097	0.0178	0.0475	0.0665	0.0782	0	0.0031	0.0514	0	0.0438	0.0024	0.0578	0.0101
GSM1594709	0.1732	0.0249	0.0143	0.0141	0.0198	0.0822	0.0946	0.0205	0.0078	0.0623	0	0.0177	0.0209	0.0376	0.0233
GSM1594710	0.1563	0.0131	0.0233	0.0025	0.0074	0.0831	0.0877	0.008	0.0028	0.0519	0	0	0	0.0613	0.0215
GSM1594711	0.1005	0.0286	0.0227	0.0156	0.024	0.0649	0.0941	0	0.0042	0.0262	0	0.0161	0.0235	0.0227	0.0073
GSM1594712	0.0915	0.0128	0	0.0027	0.0252	0.0463	0.0481	0	0	0.0327	0	0.0392	0	0.0315	0.0072
GSM1594713	0.1274	0	0	0	0	0.015	0.0454	0	0.0032	0.0537	0	0.0022	0	0.0608	0.024
GSM1594714	0.2317	0.0315	0.0086	0.0198	0.0227	0.0539	0.0836	0.0182	0.0084	0.0798	0.0043	0.0058	0	0.0907	0.0293
GSM1594715	0.0857	0.0087	0	0	0.0086	0.0751	0.0857	0.0249	0.0014	0.0399	0.0028	0.0568	0	0.0246	0.002
GSM1594716	0.051	0	0	0	0	0.0317	0.0525	0.008	0.0025	0.0152	0	0.0485	0	0.0095	0.0065
GSM1594717	0.134	0	0.0027	0	0.0037	0.038	0.0575	0	0.0027	0.0455	0	0.0268	0	0.0477	0.0132
GSM1594718	0.0143	0	0	0	4.00E-04	0.0325	0.0626	0	0	0.0025	0	0.1045	0.0292	0.005	0
GSM1594719	0.1088	0.0139	0.0099	0	0.0244	0.0987	0.0902	0	0.0089	0.0398	0	0.0357	0	0.0391	0.0098
GSM1594720	0.2427	0	0	0	0	0.0034	0.0242	0	0.0028	0.0795	0	0.0406	0	0.0843	0.0446
GSM1594721	0.1726	0.0134	0	0.0084	0	0.0262	0.0759	0.0017	0	0.0591	0	0.0309	0.0532	0.0267	0.0328
GSM1594722	0.2545	0.0205	0	0.0077	0.0049	0.1114	0.1202	0.0482	0.0073	0.0756	0.006	0.0047	0.0019	0.1022	0.0285
GSM1594723	0.1465	0.0222	0.0216	0.0106	0.0183	0.0818	0.0862	0.0072	0.0078	0.0394	0	0.0637	0.0054	0.0599	0.009
GSM1594724	0.0767	0	0.0139	0	3.00E-04	0.0189	0.0263	0	0	0.0235	0	0.1106	0	0.0285	0
GSM1594725	0.1576	0.0178	0.0085	0.0034	0.0184	0.0997	0.0802	0.019	0.0012	0.0498	0	0.0403	0	0.0601	0.0144
GSM1594726	0.0583	0.0063	0	0.002	0	0.0426	0.0588	0.0123	0	0.0206	0	0.0677	0	0.0184	0.0042
GSM1594727	0.0693	0.0037	0.0116	0	0.002	0.047	0.0628	0	0	0.0222	0	0.0912	0.0079	0.0195	0
GSM1594728	0.1069	0.0182	0.0085	0.0093	0.0256	0.1215	0.1415	0.0312	0.0072	0.0342	0.0068	0.0213	0.0085	0.0282	0.0064
GSM1594729	0.064	0	0	0	0.0047	0.074	0.0591	0.008	0.007	0.0292	0	0.0586	0	0.0169	0
GSM1594730	0.0792	0.0176	0.0213	9.00E-04	0.0031	0.1001	0.1216	0.0375	0.0104	0.017	0.0026	0.0519	0.031	0.0131	0.009
GSM1594731	0.0922	0.0116	0.0039	0.0096	0.0059	0.0388	0.0612	0	0.001	0.0274	0	0.0586	0	0.0286	0.0151
GSM1594732	0.0762	0.0225	0.0132	0	0.0301	0.1403	0.1239	0.0112	0.0204	0.0344	0	0.0021	0	0.0361	0.008
GSM1594733	0.0476	0.007	0	1.00E-04	0	0.0542	0.0903	0	0.0067	0.005	0	0.0148	0	0.0074	0.0145
GSM1594734	0.1153	0.0075	0	0	0.0223	0.0539	0.057	0.0092	0	0.0462	0	0.0827	0	0.0359	0.0099
GSM1594735	0.15	0	0	0	0	0.0293	0.0626	0	9.00E-04	0.058	0	0.0867	0	0.0412	0.016
GSM1594736	0.0386	0.0033	0.0228	0	0.0066	0.0887	0.1143	0	0.0062	0.0089	0	0.0585	0	0.0191	0.0068
