factor_name_list,factor_name_ROC
EIF2AK2;TRIM22;XAF1;ZBP1,0.5
IFI44;IFI44L;IFIT3;IFITM3,0.5
IFI44;IFI44L;IFIT3;PARP9,0.444
IFI44;IFI44L;IFIT3;PRIC285,0.45
IFI44;IFI44L;IFIT3;TRIM22,0.5
IFI44;IFI44L;IFIT3;XAF1,0.533
IFI44;IFI44L;IFIT3;ZBP1,0.449
IFI44;IFI44L;IFITM3;PARP9,0.477
IFI44;IFI44L;IFITM3;PRIC285,0.45
IFI44;IFI44L;IFITM3;TRIM22,0.5
IFI44;IFI44L;IFITM3;XAF1,0.45
IFI44;IFI44L;IFITM3;ZBP1,0.522
IFI44;IFI44L;PARP9;PRIC285,0.526
IFI44;IFI44L;PARP9;TRIM22,0.5
IFI44;IFI44L;PARP9;XAF1,0.803
IFI44;IFI44L;PARP9;ZBP1,0.751
IFI44;IFI44L;PRIC285;TRIM22,0.5
IFI44;IFI44L;PRIC285;XAF1,0.56
IFI44;IFI44L;PRIC285;ZBP1,0.668
IFI44;IFI44L;TRIM22;XAF1,0.5
IFI44;IFI44L;TRIM22;ZBP1,0.5
IFI44;IFI44L;XAF1;ZBP1,0.802
IFI44;IFIT3;IFITM3;PARP9,0.5
IFI44;IFIT3;IFITM3;PRIC285,0.5
IFI44;IFIT3;IFITM3;TRIM22,0.5
IFI44;IFIT3;IFITM3;XAF1,0.5
IFI44;IFIT3;IFITM3;ZBP1,0.5
IFI44;IFIT3;PARP9;PRIC285,0.5
IFI44;IFIT3;PARP9;TRIM22,0.5
IFI44;IFIT3;PARP9;XAF1,0.472
IFI44;IFIT3;PARP9;ZBP1,0.444
IFI44;IFIT3;PRIC285;TRIM22,0.5
IFI44;IFIT3;PRIC285;XAF1,0.478
IFI44;IFIT3;PRIC285;ZBP1,0.45
IFI44;IFIT3;TRIM22;XAF1,0.5
IFI44;IFIT3;TRIM22;ZBP1,0.5
IFI44;IFIT3;XAF1;ZBP1,0.477
IFI44;IFITM3;PARP9;PRIC285,0.477
IFI44;IFITM3;PARP9;TRIM22,0.5
IFI44;IFITM3;PARP9;XAF1,0.477
IFI44;IFITM3;PARP9;ZBP1,0.477
IFI44;IFITM3;PRIC285;TRIM22,0.5
IFI44;IFITM3;PRIC285;XAF1,0.423
IFI44;IFITM3;PRIC285;ZBP1,0.478
IFI44;IFITM3;TRIM22;XAF1,0.5
IFI44;IFITM3;TRIM22;ZBP1,0.5
IFI44;IFITM3;XAF1;ZBP1,0.45
IFI44;PARP9;PRIC285;TRIM22,0.5
IFI44;PARP9;PRIC285;XAF1,0.79
IFI44;PARP9;PRIC285;ZBP1,0.478
IFI44;PARP9;TRIM22;XAF1,0.5
IFI44;PARP9;TRIM22;ZBP1,0.5
IFI44;PARP9;XAF1;ZBP1,0.795
IFI44;PRIC285;TRIM22;XAF1,0.5
IFI44;PRIC285;TRIM22;ZBP1,0.5
IFI44;PRIC285;XAF1;ZBP1,0.855
IFI44;TRIM22;XAF1;ZBP1,0.5
IFI44L;IFIT3;IFITM3;PARP9,0.5
IFI44L;IFIT3;IFITM3;PRIC285,0.5
IFI44L;IFIT3;IFITM3;TRIM22,0.5
IFI44L;IFIT3;IFITM3;XAF1,0.5
IFI44L;IFIT3;IFITM3;ZBP1,0.5
IFI44L;IFIT3;PARP9;PRIC285,0.528
IFI44L;IFIT3;PARP9;TRIM22,0.5
IFI44L;IFIT3;PARP9;XAF1,0.528
IFI44L;IFIT3;PARP9;ZBP1,0.444
IFI44L;IFIT3;PRIC285;TRIM22,0.5
IFI44L;IFIT3;PRIC285;XAF1,0.478
IFI44L;IFIT3;PRIC285;ZBP1,0.505
IFI44L;IFIT3;TRIM22;XAF1,0.5
IFI44L;IFIT3;TRIM22;ZBP1,0.5
IFI44L;IFIT3;XAF1;ZBP1,0.478
IFI44L;IFITM3;PARP9;PRIC285,0.477
IFI44L;IFITM3;PARP9;TRIM22,0.5
IFI44L;IFITM3;PARP9;XAF1,0.477
IFI44L;IFITM3;PARP9;ZBP1,0.477
IFI44L;IFITM3;PRIC285;TRIM22,0.5
IFI44L;IFITM3;PRIC285;XAF1,0.423
IFI44L;IFITM3;PRIC285;ZBP1,0.478
IFI44L;IFITM3;TRIM22;XAF1,0.5
IFI44L;IFITM3;TRIM22;ZBP1,0.5
IFI44L;IFITM3;XAF1;ZBP1,0.423
IFI44L;PARP9;PRIC285;TRIM22,0.5
IFI44L;PARP9;PRIC285;XAF1,0.682
IFI44L;PARP9;PRIC285;ZBP1,0.554
IFI44L;PARP9;TRIM22;XAF1,0.5
IFI44L;PARP9;TRIM22;ZBP1,0.5
IFI44L;PARP9;XAF1;ZBP1,0.747
IFI44L;PRIC285;TRIM22;XAF1,0.5
IFI44L;PRIC285;TRIM22;ZBP1,0.5
IFI44L;PRIC285;XAF1;ZBP1,0.825
IFI44L;TRIM22;XAF1;ZBP1,0.5
IFIT3;IFITM3;PARP9;PRIC285,0.5
IFIT3;IFITM3;PARP9;TRIM22,0.5
IFIT3;IFITM3;PARP9;XAF1,0.5
IFIT3;IFITM3;PARP9;ZBP1,0.5
IFIT3;IFITM3;PRIC285;TRIM22,0.5
IFIT3;IFITM3;PRIC285;XAF1,0.5
IFIT3;IFITM3;PRIC285;ZBP1,0.5
IFIT3;IFITM3;TRIM22;XAF1,0.5
IFIT3;IFITM3;TRIM22;ZBP1,0.5
IFIT3;IFITM3;XAF1;ZBP1,0.5
IFIT3;PARP9;PRIC285;TRIM22,0.5
IFIT3;PARP9;PRIC285;XAF1,0.472
IFIT3;PARP9;PRIC285;ZBP1,0.444
IFIT3;PARP9;TRIM22;XAF1,0.5
IFIT3;PARP9;TRIM22;ZBP1,0.5
IFIT3;PARP9;XAF1;ZBP1,0.472
IFIT3;PRIC285;TRIM22;XAF1,0.5
IFIT3;PRIC285;TRIM22;ZBP1,0.5
IFIT3;PRIC285;XAF1;ZBP1,0.478
IFIT3;TRIM22;XAF1;ZBP1,0.5
IFITM3;PARP9;PRIC285;TRIM22,0.5
IFITM3;PARP9;PRIC285;XAF1,0.478
IFITM3;PARP9;PRIC285;ZBP1,0.477
IFITM3;PARP9;TRIM22;XAF1,0.5
IFITM3;PARP9;TRIM22;ZBP1,0.5
IFITM3;PARP9;XAF1;ZBP1,0.449
IFITM3;PRIC285;TRIM22;XAF1,0.5
IFITM3;PRIC285;TRIM22;ZBP1,0.5
IFITM3;PRIC285;XAF1;ZBP1,0.423
IFITM3;TRIM22;XAF1;ZBP1,0.5
PARP9;PRIC285;TRIM22;XAF1,0.5
PARP9;PRIC285;TRIM22;ZBP1,0.5
PARP9;PRIC285;XAF1;ZBP1,0.795
PARP9;TRIM22;XAF1;ZBP1,0.5
PRIC285;TRIM22;XAF1;ZBP1,0.5
EIF2AK2;IFI44;IFI44L;IFIT3;IFITM3,0.5
EIF2AK2;IFI44;IFI44L;IFIT3;PARP9,0.5
EIF2AK2;IFI44;IFI44L;IFIT3;PRIC285,0.55
EIF2AK2;IFI44;IFI44L;IFIT3;TRIM22,0.5
EIF2AK2;IFI44;IFI44L;IFIT3;XAF1,0.467
EIF2AK2;IFI44;IFI44L;IFIT3;ZBP1,0.55
EIF2AK2;IFI44;IFI44L;IFITM3;PARP9,0.477
EIF2AK2;IFI44;IFI44L;IFITM3;PRIC285,0.533
EIF2AK2;IFI44;IFI44L;IFITM3;TRIM22,0.5
EIF2AK2;IFI44;IFI44L;IFITM3;XAF1,0.478
EIF2AK2;IFI44;IFI44L;IFITM3;ZBP1,0.522
EIF2AK2;IFI44;IFI44L;PARP9;PRIC285,0.827
EIF2AK2;IFI44;IFI44L;PARP9;TRIM22,0.5
EIF2AK2;IFI44;IFI44L;PARP9;XAF1,0.778
EIF2AK2;IFI44;IFI44L;PARP9;ZBP1,0.783
EIF2AK2;IFI44;IFI44L;PRIC285;TRIM22,0.5
EIF2AK2;IFI44;IFI44L;PRIC285;XAF1,0.553
EIF2AK2;IFI44;IFI44L;PRIC285;ZBP1,0.413
EIF2AK2;IFI44;IFI44L;TRIM22;XAF1,0.5
EIF2AK2;IFI44;IFI44L;TRIM22;ZBP1,0.5
EIF2AK2;IFI44;IFI44L;XAF1;ZBP1,0.725
EIF2AK2;IFI44;IFIT3;IFITM3;PARP9,0.5
EIF2AK2;IFI44;IFIT3;IFITM3;PRIC285,0.5
