factor_name_list,factor_name_ROC
EIF2AK2;IFIT3;PARP9;TRIM22,0.806
EIF2AK2;IFIT3;PARP9;XAF1,0.875
EIF2AK2;IFIT3;PARP9;ZBP1,0.895
EIF2AK2;IFIT3;PRIC285;TRIM22,0.522
EIF2AK2;IFIT3;PRIC285;XAF1,0.899
EIF2AK2;IFIT3;PRIC285;ZBP1,0.902
EIF2AK2;IFIT3;TRIM22;XAF1,0.734
EIF2AK2;IFIT3;TRIM22;ZBP1,0.748
EIF2AK2;IFIT3;XAF1;ZBP1,0.893
EIF2AK2;IFITM3;PARP9;PRIC285,0.812
EIF2AK2;IFITM3;PARP9;TRIM22,0.807
EIF2AK2;IFITM3;PARP9;XAF1,0.7
EIF2AK2;IFITM3;PARP9;ZBP1,0.753
EIF2AK2;IFITM3;PRIC285;TRIM22,0.506
EIF2AK2;IFITM3;PRIC285;XAF1,0.907
EIF2AK2;IFITM3;PRIC285;ZBP1,0.513
EIF2AK2;IFITM3;TRIM22;XAF1,0.734
EIF2AK2;IFITM3;TRIM22;ZBP1,0.748
EIF2AK2;IFITM3;XAF1;ZBP1,0.646
EIF2AK2;PARP9;PRIC285;TRIM22,0.53
EIF2AK2;PARP9;PRIC285;XAF1,0.891
EIF2AK2;PARP9;PRIC285;ZBP1,0.718
EIF2AK2;PARP9;TRIM22;XAF1,0.81
EIF2AK2;PARP9;TRIM22;ZBP1,0.811
EIF2AK2;PARP9;XAF1;ZBP1,0.884
EIF2AK2;PRIC285;TRIM22;XAF1,0.44
EIF2AK2;PRIC285;TRIM22;ZBP1,0.74
EIF2AK2;PRIC285;XAF1;ZBP1,0.593
EIF2AK2;TRIM22;XAF1;ZBP1,0.785
IFI44;IFI44L;IFIT3;IFITM3,0.893
IFI44;IFI44L;IFIT3;PARP9,0.881
IFI44;IFI44L;IFIT3;PRIC285,0.923
IFI44;IFI44L;IFIT3;TRIM22,0.894
IFI44;IFI44L;IFIT3;XAF1,0.899
IFI44;IFI44L;IFIT3;ZBP1,0.899
IFI44;IFI44L;IFITM3;PARP9,0.892
IFI44;IFI44L;IFITM3;PRIC285,0.87
IFI44;IFI44L;IFITM3;TRIM22,0.896
IFI44;IFI44L;IFITM3;XAF1,0.908
IFI44;IFI44L;IFITM3;ZBP1,0.861
IFI44;IFI44L;PARP9;PRIC285,0.88
IFI44;IFI44L;PARP9;TRIM22,0.861
IFI44;IFI44L;PARP9;XAF1,0.903
IFI44;IFI44L;PARP9;ZBP1,0.865
IFI44;IFI44L;PRIC285;TRIM22,0.893
IFI44;IFI44L;PRIC285;XAF1,0.939
IFI44;IFI44L;PRIC285;ZBP1,0.868
IFI44;IFI44L;TRIM22;XAF1,0.899
IFI44;IFI44L;TRIM22;ZBP1,0.852
IFI44;IFI44L;XAF1;ZBP1,0.896
IFI44;IFIT3;IFITM3;PARP9,0.844
IFI44;IFIT3;IFITM3;PRIC285,0.883
IFI44;IFIT3;IFITM3;TRIM22,0.845
IFI44;IFIT3;IFITM3;XAF1,0.82
IFI44;IFIT3;IFITM3;ZBP1,0.858
IFI44;IFIT3;PARP9;PRIC285,0.879
IFI44;IFIT3;PARP9;TRIM22,0.857
IFI44;IFIT3;PARP9;XAF1,0.823
IFI44;IFIT3;PARP9;ZBP1,0.854
IFI44;IFIT3;PRIC285;TRIM22,0.877
IFI44;IFIT3;PRIC285;XAF1,0.887
IFI44;IFIT3;PRIC285;ZBP1,0.88
IFI44;IFIT3;TRIM22;XAF1,0.798
IFI44;IFIT3;TRIM22;ZBP1,0.857
IFI44;IFIT3;XAF1;ZBP1,0.863
IFI44;IFITM3;PARP9;PRIC285,0.87
IFI44;IFITM3;PARP9;TRIM22,0.808
IFI44;IFITM3;PARP9;XAF1,0.815
IFI44;IFITM3;PARP9;ZBP1,0.852
IFI44;IFITM3;PRIC285;TRIM22,0.879
IFI44;IFITM3;PRIC285;XAF1,0.889
IFI44;IFITM3;PRIC285;ZBP1,0.879
IFI44;IFITM3;TRIM22;XAF1,0.816
IFI44;IFITM3;TRIM22;ZBP1,0.846
IFI44;IFITM3;XAF1;ZBP1,0.859
IFI44;PARP9;PRIC285;TRIM22,0.868
IFI44;PARP9;PRIC285;XAF1,0.873
IFI44;PARP9;PRIC285;ZBP1,0.86
IFI44;PARP9;TRIM22;XAF1,0.814
IFI44;PARP9;TRIM22;ZBP1,0.76
IFI44;PARP9;XAF1;ZBP1,0.855
IFI44;PRIC285;TRIM22;XAF1,0.883
IFI44;PRIC285;TRIM22;ZBP1,0.877
IFI44;PRIC285;XAF1;ZBP1,0.877
IFI44;TRIM22;XAF1;ZBP1,0.857
IFI44L;IFIT3;IFITM3;PARP9,0.88
IFI44L;IFIT3;IFITM3;PRIC285,0.917
IFI44L;IFIT3;IFITM3;TRIM22,0.872
IFI44L;IFIT3;IFITM3;XAF1,0.886
IFI44L;IFIT3;IFITM3;ZBP1,0.863
IFI44L;IFIT3;PARP9;PRIC285,0.898
IFI44L;IFIT3;PARP9;TRIM22,0.867
IFI44L;IFIT3;PARP9;XAF1,0.891
