factor_name_list,factor_name_ROC
EIF2AK2;IFI44L;IFITM3;ZBP1,0.7
EIF2AK2;IFI44L;PARP9;PRIC285,0.889
EIF2AK2;IFI44L;PARP9;TRIM22,0.854
EIF2AK2;IFI44L;PARP9;XAF1,0.883
EIF2AK2;IFI44L;PARP9;ZBP1,0.852
EIF2AK2;IFI44L;PRIC285;TRIM22,0.798
EIF2AK2;IFI44L;PRIC285;XAF1,0.901
EIF2AK2;IFI44L;PRIC285;ZBP1,0.921
EIF2AK2;IFI44L;TRIM22;XAF1,0.798
EIF2AK2;IFI44L;TRIM22;ZBP1,0.71
EIF2AK2;IFI44L;XAF1;ZBP1,0.901
EIF2AK2;IFIT3;IFITM3;PARP9,0.792
EIF2AK2;IFIT3;IFITM3;PRIC285,0.7
EIF2AK2;IFIT3;IFITM3;TRIM22,0.5
EIF2AK2;IFIT3;IFITM3;XAF1,0.698
EIF2AK2;IFIT3;IFITM3;ZBP1,0.7
EIF2AK2;IFIT3;PARP9;PRIC285,0.879
EIF2AK2;IFIT3;PARP9;TRIM22,0.821
EIF2AK2;IFIT3;PARP9;XAF1,0.865
EIF2AK2;IFIT3;PARP9;ZBP1,0.618
EIF2AK2;IFIT3;PRIC285;TRIM22,0.551
EIF2AK2;IFIT3;PRIC285;XAF1,0.845
EIF2AK2;IFIT3;PRIC285;ZBP1,0.893
EIF2AK2;IFIT3;TRIM22;XAF1,0.5
EIF2AK2;IFIT3;TRIM22;ZBP1,0.579
EIF2AK2;IFIT3;XAF1;ZBP1,0.825
EIF2AK2;IFITM3;PARP9;PRIC285,0.728
EIF2AK2;IFITM3;PARP9;TRIM22,0.684
EIF2AK2;IFITM3;PARP9;XAF1,0.728
EIF2AK2;IFITM3;PARP9;ZBP1,0.733
EIF2AK2;IFITM3;PRIC285;TRIM22,0.528
EIF2AK2;IFITM3;PRIC285;XAF1,0.7
EIF2AK2;IFITM3;PRIC285;ZBP1,0.7
EIF2AK2;IFITM3;TRIM22;XAF1,0.5
EIF2AK2;IFITM3;TRIM22;ZBP1,0.556
EIF2AK2;IFITM3;XAF1;ZBP1,0.703
EIF2AK2;PARP9;PRIC285;TRIM22,0.798
EIF2AK2;PARP9;PRIC285;XAF1,0.868
EIF2AK2;PARP9;PRIC285;ZBP1,0.852
EIF2AK2;PARP9;TRIM22;XAF1,0.805
EIF2AK2;PARP9;TRIM22;ZBP1,0.798
EIF2AK2;PARP9;XAF1;ZBP1,0.849
EIF2AK2;PRIC285;TRIM22;XAF1,0.547
EIF2AK2;PRIC285;TRIM22;ZBP1,0.607
EIF2AK2;PRIC285;XAF1;ZBP1,0.918
EIF2AK2;TRIM22;XAF1;ZBP1,0.556
IFI44;IFI44L;IFIT3;IFITM3,0.697
IFI44;IFI44L;IFIT3;PARP9,0.862
IFI44;IFI44L;IFIT3;PRIC285,0.914
IFI44;IFI44L;IFIT3;TRIM22,0.6
