"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NFATC1",-0.443040613627985,2.35391123851734,-7.21369761085327,6.12803076618586e-11,5.5714365234916e-08,13.912266583902
"CDHR1",-0.286198958534583,0.304595991153957,-7.19659798045611,6.68208265705745e-11,5.87265971119922e-08,13.8267785258349
"PABPC4",-0.532816793467916,4.20593397884666,-7.17992892296671,7.26986703913184e-11,6.18313917270162e-08,13.7435171518474
"PSMA3",0.748398130427247,4.76245738614517,7.16059270251325,8.01609102542484e-11,6.60475799926098e-08,13.6470256582445
"TAF3",-0.366481828503231,1.63429394239214,-7.14605632601335,8.62657640554831e-11,6.89237313662687e-08,13.5745520133625
"ODF3B",1.35564619995115,5.75894583788631,7.10946201881135,1.03748649876065e-10,8.045402654801e-08,13.3923566862949
"RNF213",1.29064427181254,5.37674453009966,7.06429062365619,1.30229236215342e-10,9.60605330629323e-08,13.1679615973663
"LEPREL1",-0.118860313747038,0.120634840876964,-7.06130698386523,1.32196981702125e-10,9.60605330629323e-08,13.1531597720635
"CSRNP2",-0.2208814743926,2.21185907563651,-7.05742117067201,1.34803903638341e-10,9.60605330629323e-08,13.133885974141
"SLC16A2",-0.0410307902126086,0.0295704631342543,-7.01730225095911,1.64878635082009e-10,1.14399739278217e-07,12.9351410389062
"CAPN5",-0.43119309008694,0.942285398063483,-6.94359670564466,2.38434548109967e-10,1.58130132856175e-07,12.57120124898
"ATXN2",-0.290113433249061,2.01637484018873,-6.94236992019343,2.3990007260286e-10,1.58130132856175e-07,12.5651569143832
"PGRMC2",-0.300632306078799,2.61688025150583,-6.90919120629463,2.83097560908298e-10,1.82052446119712e-07,12.4018529379504
"CARD16",1.12630797617974,4.32811762630525,6.8962104416162,3.02018125479381e-10,1.89595473723556e-07,12.3380501982172
"NUP93",-0.530060359132551,2.69469267149625,-6.86598172064576,3.51063173125792e-10,2.15258874944992e-07,12.1896642571076
"MPPED2",-0.0413861808015669,0.0331426522986386,-6.85351718183214,3.73508726740385e-10,2.16312681270216e-07,12.1285580580567
"MID2",-0.26828640112012,0.429459963821747,-6.84792101052076,3.84042088821297e-10,2.16312681270216e-07,12.1011385384599
"CNN3",-0.352897343288611,0.487752568812279,-6.84721448956102,3.85392642544805e-10,2.16312681270216e-07,12.0976774728178
"LRRC26",-0.157883784509573,0.0896926266180707,-6.8471068953591,3.85598726378675e-10,2.16312681270216e-07,12.097150409505
"ELAVL1",-0.334854081297088,2.72216789298508,-6.83731617991014,4.04814948205954e-10,2.20003133581721e-07,12.0492040070662
"UBE2I",-0.368039887075116,5.33840588695291,-6.83531103023137,4.08865718937432e-10,2.20003133581721e-07,12.0393881003571
"IFI44",3.51128843102758,6.0896335442922,6.811198988118,4.60829775369559e-10,2.43004757147876e-07,11.9214467502337
"LINC00094",-0.271269090161742,2.02009188257249,-6.80401956060039,4.77527023721939e-10,2.46872107989267e-07,11.8863635949558
"RASD1",-0.172407819123949,0.228266114450758,-6.79935390345749,4.88697128177628e-10,2.47788240029449e-07,11.8635727403506
"CITED2",-0.392194365589186,4.32063987771517,-6.7932377011581,5.0373200209906e-10,2.50592414478185e-07,11.8337063545875
"LOC100652849",-0.357355756027326,3.53139060283583,-6.76819141702379,5.70218532752271e-10,2.73352396991752e-07,11.7115215408773
"LOC100653110",-0.357355756027326,3.53139060283583,-6.76819141702379,5.70218532752271e-10,2.73352396991752e-07,11.7115215408773
"TRIM22",1.5634823085075,7.42522407557497,6.73726802093413,6.64368527970163e-10,3.12798939436809e-07,11.5609345387864
"SFT2D2",0.41664597209787,2.35936954242688,6.72705010117901,6.98734637165804e-10,3.23207674447607e-07,11.5112422887411
"SOX7",-0.0850702504081298,0.089894910255165,-6.71254779931334,7.50545140528784e-10,3.41187468537619e-07,11.4407704746295
"SNX9",-0.422452190539366,2.14242603610479,-6.68579835567136,8.56258518752425e-10,3.82645967888584e-07,11.3109602574371
"NR1D1",-0.64961968966095,2.01890318419044,-6.68113391212118,8.7614236082812e-10,3.85006158093237e-07,11.2883478939232
"PCYOX1",-0.378881649166825,1.61041729862248,-6.67590524903985,8.98973899621881e-10,3.88563046515255e-07,11.2630085730534
"LOC100294362",1.29065276559909,2.87169874599854,6.67121793321922,9.19940542154874e-10,3.912121344267e-07,11.240300195651
"NPTX2",-0.0333488146784028,0.0249451825233132,-6.64897822588378,1.02618980125388e-09,4.2946857618825e-07,11.1326530607458
"PLD4",-1.08291479149615,2.51997043675026,-6.63640949519239,1.09150479016789e-09,4.42339186557318e-07,11.071887184633
"TOB2",-0.35328272962483,2.52391947988788,-6.63618939410098,1.09268439906604e-09,4.42339186557318e-07,11.0708235216231
"C3orf37",-0.398452579909162,3.92463621173954,-6.63348637755543,1.10727400109167e-09,4.42339186557318e-07,11.0577621781241
"DCTN6",0.531132599115288,2.52111655229209,6.62073062188885,1.17876106111008e-09,4.63868867719825e-07,10.9961567524397
"HNRNPL",-0.331555084014309,5.13881347503299,-6.611113645047,1.23565286797607e-09,4.74539777363803e-07,10.949745580127
"OBSL1",-0.0713825416284515,0.0656541909217968,-6.61008869778501,1.24187380103551e-09,4.74539777363803e-07,10.9448010096751
"FAM168B",-0.370928634871587,3.67649484905946,-6.59563241068452,1.33298164475527e-09,5.02077057794537e-07,10.8750974812521
