"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LYPD2",-1.12658072230487,1.34044188300626,-5.2480715794036,7.06519348303489e-07,4.41423913207815e-05,4.72954909058827
"SCO2",1.15432798220934,6.37942474101293,5.23294577349671,7.54869974663198e-07,4.5965131066905e-05,4.66511460683371
"LAMP3",1.18854943712568,1.72367202776489,5.21615329236789,8.12332690910244e-07,4.85668111758265e-05,4.59371448282983
"MX2",1.14944710313556,7.14472676674797,5.16541536883069,1.01310764262007e-06,5.83222622386918e-05,4.37884580419762
"LY6E",2.40442847709052,8.76325343634575,5.11339384454079,1.26898336627265e-06,6.94149697824579e-05,4.15990413801283
"LINC00487",1.1971013674161,1.15270191122017,5.10310287392485,1.32658949215314e-06,7.21172341239373e-05,4.11675790080338
"ALOX15",-1.37642920103369,1.77921738752882,-5.061450580576,1.58689495184568e-06,8.28516283175509e-05,3.94268732810942
"CCR1",1.02347703128082,6.42217943112761,5.04364300977248,1.71278834554106e-06,8.65122174684589e-05,3.86854382558787
"HMGB2",1.15052803552614,5.71533401763042,5.03510772925033,1.77652611554501e-06,8.9187337677041e-05,3.83306548940459
"ABCA1",1.01072916102397,2.59838889931867,4.97558532905539,2.2898043864972e-06,0.000108001757521261,3.58672336570454
"IFI35",1.27201039492115,6.27683673531047,4.95808784626165,2.46636166608047e-06,0.000113685474978807,3.51466697114249
"OTOF",2.326107039724,2.09468928599195,4.95039126974144,2.54815156432494e-06,0.000116639868307277,3.48302378970179
"MT2A",1.51035288993734,6.23262524916272,4.93469335097853,2.72322500374422e-06,0.000122735983673026,3.41858343583436
"FBXO6",1.03713822310073,4.34396201373103,4.92177026983688,2.87607702152478e-06,0.000127232628774367,3.36563387389407
"SERPING1",1.87482806704737,5.0840492481944,4.90587361692964,3.0755642164336e-06,0.000133984295222633,3.30062507815641
"TOR1B",1.01570063411453,4.6221663222572,4.86200085003155,3.69842437036017e-06,0.000153563239289632,3.12192495932098
"ETV7",1.4676631397606,2.85177657542198,4.7925659473283,4.94199496495889e-06,0.000193611648211153,2.84127776594731
"LAP3",1.16190253666422,5.1829683383792,4.79187842113893,4.95613806716124e-06,0.000193877650265242,2.83851230033939
"IL1RN",1.00279020439899,6.44985813995344,4.7196572119078,6.68220006961274e-06,0.000243390713751863,2.54949761193585
"LY96",1.00664687458996,3.912100481742,4.71897578126798,6.70097978362546e-06,0.000243693838586302,2.5467847454784
"EXOC3L1",1.12122577085751,1.56877406750145,4.71024333707122,6.94621292269699e-06,0.000251226131577269,2.51204317176483
"SLC26A8",1.04513947188448,2.39792192889722,4.70449294464059,7.11242560566122e-06,0.000256183351801726,2.48918932490838
"GBP1",1.18745472602796,5.35002561280146,4.62570949410246,9.81633260731585e-06,0.000326377585781198,2.17799591523932
"ANXA3",1.19320219395103,5.10459879188722,4.57765813138811,1.19285011194561e-05,0.000383077783819219,1.98996599922091
"KLHDC7B",1.12101405029617,2.61831564112592,4.55320291931902,1.31659386008854e-05,0.000413746289810421,1.8947919622013
"PRSS33",-1.28261499940405,2.00555932501865,-4.37836154073035,2.64082098422086e-05,0.000702602281230748,1.22479861310198
"CXCL10",1.04991906557844,1.65041480797889,4.31989470423973,3.32013903125469e-05,0.000837691729168049,1.00492383690071
"LGALS3BP",1.20193424340195,4.49457720086259,4.28656654651351,3.77960687778634e-05,0.000935745477534226,0.880541419109412
"MMP8",1.48889793284563,2.44491547491495,4.28357414571304,3.82372887374142e-05,0.000943974115028709,0.869407748187434
"CAMP",1.35174096592998,5.14776385224675,4.23974839032924,4.5294914752251e-05,0.00106724371971211,0.706995494361075
"HES4",1.33544084724072,2.18248680404923,4.22018399402723,4.88350490346057e-05,0.00112946044109335,0.634886041321944
"RNASE2",1.09131218876816,5.08909095881267,4.18943820005538,5.49408223431086e-05,0.00122242170624338,0.522058896779224
"RETN",1.17441638107193,3.93666778417234,4.14522689818011,6.50191753456792e-05,0.00138921845799366,0.360883441136358
"CLEC4D",1.09099531159107,3.03258626150271,4.06947367701832,8.65358404942634e-05,0.00172456838282067,0.0876733404034731
"S100A12",1.06924939294529,7.81261579478946,3.92338340841414,0.000148716284567321,0.00260025216885605,-0.428484138594762
"TNFRSF17",1.04020195828136,1.88666326370989,3.7636803396788,0.000264755359333464,0.00403540723117422,-0.976150550071574
"CRISP3",1.02190728596556,1.88383468982171,3.65594876111343,0.000387107853728159,0.0053672528136987,-1.33553972005285
"CTSG",1.27354605859063,2.22897219527545,3.65383892835146,0.000389969435540843,0.00539734075457736,-1.34249580712718
"SLPI",1.02622153924779,5.12004542316862,3.61694021128804,0.000443370313926312,0.00597032773083817,-1.4636348092342
"OLFM4",1.28900172394622,1.92752894438617,3.56240062508421,0.000535105706904115,0.00685882210414872,-1.64089262606034
"HP",1.00960418935254,2.43380890884065,3.44044092672773,0.000809048648202841,0.00930688335886392,-2.02941625114428
"DEFA4",1.51819266419725,3.84534562285098,3.42313218935285,0.000857242948890897,0.00974487917273784,-2.08366641895345
"CEACAM8",1.05525700973517,1.97999584704053,3.34622385163852,0.001105848742933,0.0118043756907577,-2.322008890948
"DEFA3",1.29170992712178,2.42006471193665,3.28544698301998,0.00134849914870754,0.0137276172026344,-2.50720328367916
"LCN2",1.21509033201763,5.20798156405157,3.14144051570547,0.00213578783344377,0.0192520280398558,-2.93470948721176
"IGJ",1.30337935537223,5.46765470714645,3.05804942008067,0.00276896479990031,0.023272721043727,-3.1748889260797
"ARG1",1.20236383380215,3.0177581286122,2.98482026887071,0.00346391081078511,0.0274592520857367,-3.38126499992772
"LTF",1.13577259482959,4.33298324538416,2.77746367638542,0.00639481888857938,0.0427781949722973,-3.94220423519094
